Stastic_use_course_num = ,1335,,,,,,,,,@
Course Code,Course Name,Course Credits,Prerequisite(s),Exclusion(s),Corequisite(s),Co-list with,Mode of Delivery,Previous Course Code(s),Alternate code(s),@
ACCT 1010,Accounting@ Business and Society,3 Credit(s),,ACCT 2010,,,,,,Overview of accounting in business and social contexts; use of accounting information for accountability and decision making in companies@ non-profit organizations@ and government; major elements of accounting@ including assets@ liabilities@ revenues and expenses; discharge of accountability by companies through corporate social and environmental reports.,@
ACCT 1610,Laws in Society and Business,3 Credit(s),,ACCT 3610,,,,,,This course provides an introduction to law and business society. Topics include general introduction to the concepts in law; an introduction to the Hong Kong legal system under the principle of $one country@ two systems$; copyright law; trademark law; agency law; insolvency law; employment law and business ethics. As Hong Kong is a well-developed business society@ this course is intended to build students# understanding of the relationship between the law and the society and discuss laws in society and business.,@
ACCT 2010,Principles of Accounting I,3 Credit(s),,,,,[BLD] Blended learning,,,For SB&M students@ and programs that designate the course as a required/specified elective course. This is the first course of the principles of accounting sequence. Introduction to the concepts and principles of financial accounting@ including the analysis@ recording@ and reporting of business transactions and preparation of financial statements.,@
ACCT 2200,Principles of Accounting II,3 Credit(s),(for non-BIBU students) ACCT 2010,,,,,,,For SB&M students@ and programs that designate the course as a required/specified elective course. This is the second course of the principles of accounting sequence. It introduces concepts@ accounting methods@ and analytical tools related to managerial and cost accounting. Topics include fundamental cost concepts@ job-order and process costing systems@ CVP analysis@ budgets and standards@ segment reporting@ and decision-making using cost information.,@
ACCT 3010,Financial Accounting I,3 Credit(s),ACCT 2010,ACCT 3030,,,[BLD] Blended learning,,,Study of the application of generally accepted accounting principles to accounting for business organizations; evaluation of balance sheet accounts and the related effects on income determination.,@
ACCT 3020,Financial Accounting II,3 Credit(s),ACCT 3010,ACCT 3030,,,,,,Continuation of ACCT 3010. Special problems in accounting for owner#s equity and long-term liabilities including corporate bonds@ leases@ deferred taxation and pensions.,@
ACCT 3030,Intermediate Financial Accounting for Non-Accounting Majors,3 Credit(s),ACCT 2010,ACCT 3010@ ACCT 3020,,,,,,Financial accounting concepts and practices with particular emphasis on the analysis and interpretation of financial reports and data.,@
ACCT 3210,Advanced Management Accounting,3 Credit(s),ACCT 2200,,,,,,,This course covers advanced quantitative methods for management decision-making (decision trees@ linear regression@ learning curves@ and linear programming)@ pricing and transfer pricing decisions@ allocation of common and joint costs@ variance analysis@ performance measurement and incentive compensation.,@
ACCT 3610,Business Law,3 Credit(s),,,,,,,,This course is to provide students with an awareness of the overall legal framework in which businesses in Hong Kong operate so as to enable them to apply the relevant laws and practices to business problems and practical solutions. The main objective is to give students an understanding of how the society and business function in different socio-legal contexts like the legal system and process and its influence on citizens# social rights and duties; the enforcement and honoring of agreement between private citizens@ the use of business organizations in commercial society@ the relationship between employee and employer from social and legal perspectives@ the growing importance of business ethics and corporate social responsibilities etc.,@
ACCT 3880,Professional Excellence Program,1 Credit(s),,,,,,,,Introductory-level seminars and workshops on the accounting/auditing professions; development of life-skills including writing and other communication skills; and individual thinking skills; ethics for accountants. For SB&M students only. Graded P or F.,@
ACCT 4010,Advanced Financial Accounting,3 Credit(s),ACCT 3020,,,,,,,Addresses accounting issues associated with (1) intercorporate investment activity that conveys significant influence or control and (2) cross-border activities.  The core topics addressed are business combinations@ consolidated financial statements@ associated companies@ and foreign currency issues.,@
ACCT 4020,Financial Statement Analysis,3 Credit(s),ACCT 2010,,,,,,,Analyses of a company#s accounting policies@ ratio and cash flows for the purposes of valuation and risk assessment.  Course is essential for careers in financial management@ investment analysis@ credit analysis@ business valuation@ and consulting.  SBM third year standing preferred.,@
ACCT 4410,Taxation,3 Credit(s),,,ACCT 3010 AND ACCT 3610,,,,,The Hong Kong taxation system and its administration; taxation of individuals@ partnerships and corporations; stamp duty; obligations compliance.,@
ACCT 4510,Auditing,3 Credit(s),ACCT 3020,,,,,,,Objectives@ standards and procedures of auditing; preparation of working papers; applications of statistical sampling; computer-assisted auditing and auditing of electronic data processing (EDP) services; professional liability and ethics.,@
ACCT 4610,Company Law,3 Credit(s),ACCT 3610,,,,,,,Law relating to companies registered in Hong Kong; company formation and records; share and loan capital; management and administration; reconstructions; mergers and take-overs; liquidation and receivership.,@
ACCT 4710,Accounting Analytics for Professional Accountants,3 Credit(s),ACCT 2010 AND ISOM 2010,,,,,,,Data analytics is reshaping the work of accountants. Applications of data analytics in accounting including: Auditing/Assurance - data analytics techniques used by accounting professionals and auditors nowadays to detect fraud and conduct forensic accounting. Enhancing Financial Reporting: more sophisticated data analytics tools can allow companies to link diverse financial and non-financial datasets and provide more comprehensive and rigorous financial reports to stakeholders. Managing risks: data analytics techniques such as continuous auditing and continuous monitoring can help accounting professionals assess and manage relevant risk levels within their organization. This course aims to provide students with knowledge of the nature and role of data analytics and enable students to apply and understand data analytics technologies to perform audit@ enhance financial reporting@ and minimize risks as accounting professionals.,@
ACCT 4720,Equity Investment with Machine Learning,3 Credit(s),ACCT 2010 AND ISOM 3400,,,,,,,This course is designed for students interesting in the investment management business@ especially for those who aspire to learn the application of quantitative and machine learning technology in equity investing. The course will cover a wide range of topics in equity investing@ including quantitative investment process@ multi-factor stock-selection models@ portfolio construction methods@ performance evaluation@ and an introduction of applications of AI/machine learning technology in equity investing. This is a very hands-on course. Students will be required to conduct quantitative and machine learning analyses using Python. Prior knowledge in capital markets and python programing is required. For students in their third year of study and above.,@
ACCT 4980,Independent Study,1-4 Credit(s),,,,,,,,Directed study of selected problems in accounting not covered in other courses.,@
BIBU 1010,Biotechnology and Business Seminar,1 Credit(s),,,,,,,,Study on selected current topics in biotechnology and business through attending seminars in related areas. This course provides a platform for students to interact and learn from different academic and practitioner leaders in both biotechnology and business fields. Graded P or F. For BIBU students only.,@
BIBU 4820,Biotechnology Entrepreneurship and Business Operations,3 Credit(s),,LIFS 4820,,,,,,This course allows students to acquire a combination of essential scientific principles and practical business know-how in the biotechnology market@ with an emphasis on the uniqueness and complexities of biotechnology entrepreneurship. Special focus will be placed on analyzing the critical factors that are pertinent to a successful venture in biotechnology. These factors will include scientific and technological advancements@ intellectual property rights@ as well as regulatory and commercial considerations. Students will eventually learn how to translate the knowledge into a business plan for start-up processes within the biotechnology industry. Guest speakers will include those who have experience in starting or managing biotechnology companies. For BIBU students in their fourth year of study only.,@
BIBU 4830,Biotechnology Management,3 Credit(s),,,,,,,,This course provides students with a general outlook of the roles and responsibilities in managing the biotech business. Business constraints like sales and marketing@ partnerships@ critical success factors in operations@ market entry barriers@ risk management and relationships with stakeholders will be covered in this course@ with special focus on strategic development in the biotech business. Guest speakers will contribute their personal experience to offer a professional view of the key issues@ pitfalls and opportunities in their daily business activity. A large use of case studies and other process management techniques will simulate potential scenarios in which students may be called to operate soon after they completed their university career. For BIBU students in their fourth year of study only.,@
BIBU 4840,Biotechnology and Business Capstone Project,3 Credit(s),,,,,,,,Under the supervision of faculty members@ students in small groups will undertake a project to investigate selected topics relevant to the biotechnology industry and its business operations. The project will be delivered through the format of literature review. Course assessment will be based on students# written report and oral presentation that documents the project work and learning experiences. For BIBU students with approval of the course instructor for enrollment in the course.,@
BIBU 4850,Biotechnology and Business Project Research,6 Credit(s),LIFS 3110,,,,,,,This is a one-year course. With a one-on-one supervision by faculty member@ students will undertake a research project of their choice in biotechnological innovation/ideas: design of experiments@ analysis of data@ submission of a business plan/proposal in order to commercialize the selected biotechnological innovation/ideas. Credit load will be spread over the year. For BIBU students with approval of the course instructor for enrolling in the course.,@
BIEN 1010,Introduction to Biomedical Engineering,3 Credit(s),,,,,,BIEN 2010,,This course is designed as an introductory course in biomedical engineering. The aim of this course is to present some of the basic science and human physiology knowledge used by biomedical engineers and illustrates the first steps in applying this knowledge to solve problems in human medicine. The second goal of this course is to link knowledge of basic science and engineering to fields of specialization and current research. This course also introduces the sub-specialties in biomedical engineering and through real-life examples to emphasize the types of problems biomedical engineers solve.,@
BIEN 2310,Modeling for Chemical and Biological Engineering,3 Credit(s),MATH 1014 OR MATH 1020 OR MATH 1024,,,CENG 2310,[BLD] Blended learning,,,Modeling of physical@ chemical and biological processes. Balance Equations. Dimensional and scaling analysis. Analytical and numerical solutions to initial and boundary value problems. Use of computer tools for engineering calculations. This course uses examples in the Bioengineering discipline. For BIEN students only.,@
BIEN 2410,Cellular and Systems Physiology for Engineers,3 Credit(s),LIFS 1901 OR Level 3 or above in HKDSE 1x Biology,LIFS 3040,,,,,,Essential cellular and systems physiology for engineers. Hierarchical organization of a complex organism: from organelles to organ systems. Cellular physiology@ neurophysiology@ vision@ muscle and movement@ and the cardiovascular system.,@
BIEN 2610,Chemical Biology for Engineers,3 Credit(s),(CHEM 1010 OR CHEM 1020) AND (LIFS 1901 OR (Level 3 or above in HKDSE 1x Biology)),,,,,,,A concise introduction of biochemistry@ cell biology@ and pharmacology to engineers. Molecular and supramolecular building blocks of biological systems. Analysis and engineering of biological systems by chemical principles. Introduction to transcriptomics@ proteomics and metabolomics.,@
BIEN 2990,Academic and Professional Development I,1 Credit(s),,,,,,,,For students in the Bioengineering major. This course is designed to provide academic advising to students@ to enhance their understanding of the bioengineering field@ to encourage them to pursue co-curricular learning opportunities available to them@ and to improve their communication skills. Students are required to attend discussion sessions with advisors and fellow students and selected workshops and seminars. Graded P or F.,@
BIEN 3010,Biodesign: A Taste of Solving Real-Life Healthcare Problems,3 Credit(s),,,,,,,,This is a $real world# medical device development course that focuses on identifying clinical needs@ validating needs@ brainstorming and concept creation. The goal of this course is to develop students# communication@ interpersonal@ teamwork@ analytical@ design and project management skills through a team-based design experience. Apart from core lectures@ students will be involved in a team project in which they will be required to identify and work on selected clinical needs@ and generate medical product ideas to solve the problems. Students are expected to have enrolled in Bioengineering Minor or with Engineering/Science background. Instructor#s approval is required for enrollment in the course.,@
BIEN 3020,Advanced Biological Physics,3 Credit(s),(LIFS 2010 OR LIFS 2040) AND (PHYS 1114 OR PHYS 1314) AND PHYS 2010,,,,,,BIPH 3010,Biological physics involves the application of physics to achieve an understanding of life processes. This is the second of the two core courses series that will prepare advanced undergraduates for research and technical work in Biological physics. It covers advanced biological physics such as molecular and cellular biological physics@ photophysics@ single-molecule biophysics@ medical biophysics@ membrane biological physics@ neurobiophysics@ biostatistics@ biomathematics@ bioinformatics@ computational biology and protein engineering. At the conclusion of this course@ students will be able to critically assess primary research literature written for a general scientific audience. They will also be prepared for mentored practical research investigations or professional job related to biological physics.,@
BIEN 3240,Transport Phenomena in Biological Systems,3 Credit(s),BIEN 2310 AND (MATH 1014 OR MATH 1020 OR MATH 1024),CENG 3220,,,,,,Analysis of fluid flow and heat and mass transport in biological systems. Fluid properties@ energy equations@ steady-state conductive and convective heat and mass transport. Mathematical and computational tools for solving transport problems. Applications in transport phenomena in human physiology@ medical devices@ drug delivery@ tissue engineering@ biosensors and bioimaging.,@
BIEN 3300,Data Science for Molecular Engineering,3 Credit(s),BIEN 2310 OR CENG 2310,LIFS 3150@ MATH 2411,,,,,CENG 3300,Mathematical methods for data science; Data processing and presentation; Supervised learning@ including nearest neighbor methods@ linear and nonlinear regression; Introduction to deep learning and neural networks.,@
BIEN 3320,Data Science for Biology and Medicine,3 Credit(s),{COMP 1021 OR [(COMP 1022P OR COMP 1022Q (prior to 2020-21) OR COMP 2011) AND COMP 1029P]} AND BIEN 2310 AND BIEN 2610 AND MATH 2411,,,LIFS 4320,,,,This is an introductory course for the application of data science in biology and medicine. The course will introduce the fundamental principles on data science@ the technologies and implementations of data mining@ as well as the modeling of several practical questions in biomedicine. The topics include introduction to biomedical data@ data visualization@ regression methods and classification methods.,@
BIEN 3410,Introduction to Bioinstrumentation and Bioimaging,3 Credit(s),BIEN 2410,ELEC 4810,,,,,,This course introduces various biomedical devices to senior undergraduate students@ including (electrical@ chemical@ optical@ and acoustic) devices that can measure EEG@ EMG@ EOG@ oxygen saturation@ blood glucose level@ blood components@ and soft/hard tissue. Students will be able to understand@ design@ and evaluate devices that can acquire biological information from the human body.,@
BIEN 3910,Bioengineering Laboratory,4 Credit(s),BIEN 2410 AND BIEN 2610,,BIEN 3410,,,,,This course provides hands-on experience with molecular biotechnology@ biomolecular engineering@ biosensors@ biomedical devices@ and bioanalytical techniques. Laboratory experiments including cell culture@ genetic engineering techniques@ bioanalytical methods@ biosensors and biomedical devices@ with additional emphasis on data analysis. For students of the CBE department only.,@
BIEN 4000,Special Topics in Bioengineering,1-4 Credit(s),,,,,,,,Selected topics of current interest not covered by existing courses. May be graded by letter@ P/F@ or DI/PA/F for different offerings.,@
BIEN 4310,Statistical Signal Analysis and Applications in Neural Engineering,3 Credit(s),(BIEN 3320 OR MATH 2111) AND (ELEC 2600 OR ISOM 2500 OR LIFS 3150 OR MATH 2411),,,,,BIEN 4000A,ELEC 4830,This is an introductory course on statistical signal processing and its applications in neural engineering. The course introduces the fundamentals of statistical signal processing@ principles of neuroscience@ and the technologies and implementations of neural engineering. The topics include probability@ random variables@ vectors and process@ expectation@ cellular mechanisms and neuroanatomy of the brain@ neural coding theory@ neural network models@ plasticity and learning@ neural interfaces and rehabilitation.,@
BIEN 4910,Independent Study,1-4 Credit(s),,,,,,,,Independent studies or projects under the directed guidance of a faculty member on a bioengineering topic. Enrollment in the course requires prior approval of the course instructor@ and credits assigned depend on the workload. Students may repeat the course if different topics are taken. The course may be grade by letter or P/F subject to different offerings. May be graded PP.,@
BIEN 4920,Bioengineering Capstone Design,6 Credit(s),BIEN 3910,BIEN 4930@ BIEN 4940,,,,,,A final-year project course offers practice of bioengineering design through a group design project chosen to integrate materials covered in the curriculum. Credit load may be spread over a year. May be graded PP. For students in the Bioengineering major only.,@
BIEN 4930,Bioengineering Thesis Research,6 Credit(s),BIEN 3910 AND (CENG 4980 OR UROP 2100),BIEN 4920@ BIEN 4940,,,,,,A final-year project course offers an opportunity to conduct individual bioengineering research under the direct supervision of a faculty member@ which leads to a Bachelor#s thesis. Credit load may be spread over a year. May be graded PP. For students in the Bioengineering major with approval from the department only.,@
BIEN 4940,Bioengineering Industrial Project,6 Credit(s),BIEN 3910,BIEN 4920@ BIEN 4930,,,,,,This course is intended to provide final-year bioengineering students with practical hands-on training in the form of a full-time or part-time internship or co-op program in a bioengineering company. Credit load may be spread over a year. May be graded PP. For students in the Bioengineering major with approval from the department only.,@
BIEN 4990,Academic and Professional Development II,1 Credit(s),BIEN 2990,,,,,,,For final-year Bioengineering students. This course is designed to prepare students for the workplace@ to instill in them a sense of professional responsibility@ and to enhance their career management skills. Students are required to attend selected workshops and seminars by practicing bioengineers. Graded P or F.,@
CENG 1000,Introduction to Chemical and Biological Engineering,3 Credit(s),,,,,,,,From chemistry to engineering@ molecules to useful products. Physical@ chemical and biochemical transformation of materials. Survey of industries related to modern chemical and biological engineering. Basic principles of materials and energy balance. Strategy of molecular synthesis@ process selection and design@ economic and environmental considerations. Examples taken from a diverse range of products spanning realms of food@ consumer products@ energy@ environment@ and medicine. Case studies and team projects on process and product design. For engineering students only.,@
